店名,捷運站,地址,官網,wifi 穩定,價格便宜,咖啡好喝,安靜程度,插座,有無限時,有賣單品,有賣正餐,有賣甜點,週一,週三,週二,週五,週六,週四,週日,,
風曜咖啡坊,大安站,台北市大安區仁愛路四段48巷19-1號,https://www.facebook.com/Kazeyoucoffee/,5,4,5,4,Yes,No,Yes,No,Yes,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,,
七刀space,,台北市北投路二段13號8樓之1,https://www.takeabreak.space/,5,5,5,5,Yes,,No,No,No,00:00 - 00:00,13:00 - 22:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,13:00 - 22:00,00:00 - 00:00,,
Pure Caf'e,大直捷運站,台北市中山區北安路595巷19弄2號,暫無資料,5,5,5,5,Yes,No,Yes,Yes,Yes,未營業,14:00 - 19:30,14:00 - 19:30,14:00 - 19:30,14:00 - 19:30,14:00 - 19:30,14:00 - 19:00,,
settled cafe,,台北市漢口街二段117號,https://www.facebook.com/settledcafe/,4,4,5,5,Yes,,Yes,Yes,Yes,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,09:00 - 21:00,11:00 - 21:00,09:00 - 18:00,,
Jarvis Cafe,,221新北市汐止區大同路二段229號,暫無資料,5,4.5,3.5,3,Yes,No,Yes,No,Yes,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,未營業,,
Hera Cafe,中山捷運站(五號出口),台北市大同區承德路二段一巷7號,https://m.facebook.com/heracafe.co/,5,3.5,4.5,4,Yes,No,Yes,No,Yes,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,未營業,12:00 - 20:00,,
InsingerKaffee 硬性格咖啡,中山國中,台北市復興北路313巷19號,https://www.facebook.com/insingerkaffee/,5,4,5,5,Yes,No,Yes,No,Yes,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,11:30 - 19:30,08:00 - 18:00,11:30 - 19:30,,
蜂巢咖啡,,新北市永和區永貞路214號,https://www.facebook.com/honeycombcafe2016/,0,4,5,3,No,No,Yes,No,Yes,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,,
The Kaffa Lovers,忠孝新生,台北市中正區金山北路3號,https://www.facebook.com/thekaffalovers/?fref=ts,5,4,5,5,Yes,No,Yes,No,Yes,未營業,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,,
Full of Beans 充滿豆豆咖啡館,,台北市中山區龍江路21巷9-6號,https://www.facebook.com/FOBcafe.gallery/,4,3.5,4,4,,,Yes,No,Yes,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,,
良食究好市集餐廳WONMI,,台北市八德路四段138號 (京華城 Living Mall 10 F),http://www.wonmi.com.tw/home.php,5,3.5,5,3,,,Yes,,,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,,
8號咖啡屋,土城站,新北市土城區中央路2段278巷,https://www.facebook.com/number8coffee/,5,5,5,5,Yes,No,Yes,Yes,Yes,11:00 - 23:30,16:00 - 23:30,11:00 - 23:30,11:00 - 23:30,10:00 - 23:30,11:00 - 23:30,10:00 - 23:30,,
馬崗街27號咖啡小館,,228新北市貢寮區馬崗街27號,暫無資料,4,4,5,5,,,,,,,,,,,,,,
Olivia Coffee Roaster,國父紀念館,"106, Taipei City, Da’an District, 光復南路346巷50號台灣",暫無資料,4,4,5,3,Yes,,Yes,No,Yes,,,,,,,,,
Caffe Ruelle 巷子壹,,台北市士林區至誠路二段31之1號,http://m.facebook.com/CaffeRuelle/,5,5,5,4,No,No,Yes,Yes,Yes,06:30 - 18:30,06:30 - 18:30,06:30 - 18:30,06:30 - 18:30,06:30 - 18:30,未營業,06:30 - 18:30,,
DEBORAH CAFE 黛博拉咖啡,,台北市中山區敬業一路168號,暫無資料,4,3.5,4,4,No,,Yes,,Yes,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,09:00 - 19:00,10:00 - 19:00,09:00 - 19:00,,
瑞帛咖啡Rebirth Coffee,,台北市中山區民生東路二段115巷25弄20號,暫無資料,4,3,5,4,,,Yes,No,Yes,,,,,,,,,
啡創工廠 Future Factory,圓山,台北市大同區民族西路31巷18號,https://www.facebook.com/future.factory.coffee,5,4,5,4,Yes,,Yes,No,Yes,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,,
MISS.CAFE覓食點咖啡,,241新北市三重區三和路三段26號,暫無資料,5,5,5,3,No,,,No,No,,,,,,,,,
